Provinsi,Kabupaten/Kota,Kecamatan,Name with Street,Original Name,Street Detail,Full Address Info,Latitude,Longitude
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI MALL CINERE - Jalan Raya Cinere No 1, Pangkalan Jati",ATM BNI MALL CINERE,"Jalan Raya Cinere No 1, Pangkalan Jati","5,0 (1) ATM ATM · Jalan Raya Cinere No 1, Pangkalan Jati (021) 57899999 (021) 57899999",-6.3153501,106.7956468
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI PT. IQ PASAR JUMAT - Jl. Batan, RT.5/RW.4",ATM BNI PT. IQ PASAR JUMAT,"Jl. Batan, RT.5/RW.4","5,0 (1) Bank Bank · Jl. Batan, RT.5/RW.4 (021) 57899999 (021) 57899999",-6.303112,106.779493
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"BNI - Jl. Karang Tengah Raya No.B12, RT.6/RW.6",BNI,"Jl. Karang Tengah Raya No.B12, RT.6/RW.6","Tidak ada ulasan ATM ATM · Jl. Karang Tengah Raya No.B12, RT.6/RW.6 (021) 500046 (021) 500046",-6.303152,106.7812142
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI INDOMARET BONA INDAH - Jl. Lb. Bulus No.1, RT.5/RW.4",ATM BNI INDOMARET BONA INDAH,"Jl. Lb. Bulus No.1, RT.5/RW.4","Tidak ada ulasan Bank Bank · Jl. Lb. Bulus No.1, RT.5/RW.4 (021) 57899999 (021) 57899999",-6.303112,106.779493
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI MARKAS CILANDAK KKO 1 - Jl. Raya Cilandak KKO No.Kel, RT.12/RW.5",ATM BNI MARKAS CILANDAK KKO 1,"Jl. Raya Cilandak KKO No.Kel, RT.12/RW.5","3,0 (2) Bank Bank · Jl. Raya Cilandak KKO No.Kel, RT.12/RW.5 (021) 57899999 (021) 57899999",-6.3037035,106.8111922
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI RS FATMAWATI - Jalan Rs. Fatmawati, RT.4/RW.9",ATM BNI RS FATMAWATI,"Jalan Rs. Fatmawati, RT.4/RW.9","Tidak ada ulasan ATM ATM · Jalan Rs. Fatmawati, RT.4/RW.9 (021) 57899999 (021) 57899999",-6.2945271,106.7954088
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,ATM BNI - Jalan RS. Fatmawati,ATM BNI,Jalan RS. Fatmawati,"Tidak ada ulasan ATM ATM · MQMV+Q9F, Universitas Pembangunan Nasional Jakarta, Jalan RS. Fatmawati Buka ⋅ Tutup pukul 20.00",-6.3155542,106.7934271
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BANK BNI - Jl. Raya Cilandak KKO, RT.1/RW.5",ATM BANK BNI,"Jl. Raya Cilandak KKO, RT.1/RW.5","5,0 (1) ATM ATM · PR38+65F, Jl. Raya Cilandak KKO, RT.1/RW.5 Buka 24 jam Buka 24 jam Buka 24 jam · 1 500 046",-6.2969326,106.8154302
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI INDOMARET PD. LABU - Jl. RS. Fatmawati Raya, RT.4/RW.9",ATM BNI INDOMARET PD. LABU,"Jl. RS. Fatmawati Raya, RT.4/RW.9","Tidak ada ulasan ATM ATM · Jl. RS. Fatmawati Raya, RT.4/RW.9 (021) 57899999 (021) 57899999",-6.292297,106.79719
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI RS. MARINIR CILANDAK - Jl. Raya Cilandak KKO No.Raya 3, RT.3/RW.5",ATM BNI RS. MARINIR CILANDAK,"Jl. Raya Cilandak KKO No.Raya 3, RT.3/RW.5","5,0 (1) ATM ATM · Jl. Raya Cilandak KKO No.Raya 3, RT.3/RW.5 (021) 57899999 (021) 57899999",-6.3053295,106.813687
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI GIANT LEBAK BULUS - Jalan Lebak Lestari Raya No.9 7, RT.9/RW.7",ATM BNI GIANT LEBAK BULUS,"Jalan Lebak Lestari Raya No.9 7, RT.9/RW.7","4,0 (2) ATM ATM · Jalan Lebak Lestari Raya No.9 7, RT.9/RW.7 (021) 57899999 (021) 57899999",-6.2900942,106.7776942
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI GIANT POINT SQUARE - Jl. Lebak Bulus Raya, RT.9/RW.7",ATM BNI GIANT POINT SQUARE,"Jl. Lebak Bulus Raya, RT.9/RW.7","4,0 (2) Bank Bank · Jl. Lebak Bulus Raya, RT.9/RW.7 (021) 57899999 (021) 57899999",-6.2899439,106.7780086
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI - Jl. R.A. Kartini Lantai G, RT.9/RW.7",ATM BNI,"Jl. R.A. Kartini Lantai G, RT.9/RW.7","Tidak ada ulasan ATM ATM · Mall Poins Square, Jl. R.A. Kartini Lantai G, RT.9/RW.7 Buka ⋅ Tutup pukul 21.00 · (021) 500046",-6.2897942,106.7781588
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"BNI ATM - Jl. Raya Cirendeu, RT.14/RW.3",BNI ATM,"Jl. Raya Cirendeu, RT.14/RW.3","4,6 (7) ATM ATM · Jl. Raya Cirendeu, RT.14/RW.3 Buka ⋅ Tutup pukul 23.00 · (021) 57899999",-6.3105218,106.7714204
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI Lotte Mart Fatmawati - Jalan RS. Fatmawati, Gandaria Selatan, Cilandak, RT.8/RW.6",ATM BNI Lotte Mart Fatmawati,"Jalan RS. Fatmawati, Gandaria Selatan, Cilandak, RT.8/RW.6","4,0 (1) ATM ATM · Lotte Mart Fatmawati, Lt. Dasar, Komplek Golden Fatmawati No. 15, Jalan RS. Fatmawati, Gandaria Selatan, Cilandak, RT.8/RW.6 Buka ⋅ Tutup pukul 22.00 · (021) 1500046",-6.275374,106.7974939
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI SOVEREIGN PLAZA - Jl. TB Simatupang, RT.2/RW.1",ATM BNI SOVEREIGN PLAZA,"Jl. TB Simatupang, RT.2/RW.1","3,0 (1) Bank Bank · Jl. TB Simatupang, RT.2/RW.1 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.2929564,106.802922
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI GEDUNG MENARA 165 - Jl. TB Simatupang, RT.2/RW.1",ATM BNI GEDUNG MENARA 165,"Jl. TB Simatupang, RT.2/RW.1","3,3 (3) Bank Bank · Jl. TB Simatupang, RT.2/RW.1 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.2906054,106.8096212
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI RS. Marinir Cilandak - Jl. Raya Cilandak KKO, RT.10/RW.5",ATM BNI RS. Marinir Cilandak,"Jl. Raya Cilandak KKO, RT.10/RW.5","Tidak ada ulasan ATM ATM · MRV6+X65, Jl. Raya Cilandak KKO, RT.10/RW.5",-6.3051234,106.8106141
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI KLN UPN VETERAN PONDOK LABU-CDM - Jl. RS. Fatmawati Raya, RT.3/RW.10",ATM BNI KLN UPN VETERAN PONDOK LABU-CDM,"Jl. RS. Fatmawati Raya, RT.3/RW.10","Tidak ada ulasan Bank Bank · Jl. RS. Fatmawati Raya, RT.3/RW.10 (021) 57899999 (021) 57899999",-6.2804313,106.7961993
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI KKO - Jl. Margasatwa, RT.5/RW.7",ATM BNI KKO,"Jl. Margasatwa, RT.5/RW.7","2,3 (3) ATM ATM · Jl. Margasatwa, RT.5/RW.7 (021) 57899999 (021) 57899999",-6.3104055,106.8139229
